Región,Canton,Mujeres,Hombres,Total General,De 0 a 14 años,De 15 a 24 años,De 25 a 34 años,De 35 a 44 años,De 45 a 59 años,De 60 años o más,Mujeres De 0 a 14 años,Mujeres De 15 a 24 años,Mujeres De 25 a 34 años,Mujeres De 35 a 44 años,Mujeres De 45 a 59 años,Mujeres De 60 años o más,Hombres De 0 a 14 años,Hombres De 15 a 24 años,Hombres De 25 a 34 años,Hombres De 35 a 44 años,Hombres De 45 a 59 años,Hombres De 60 años o más
Región Chorotega,Abangares,10145,10268,20413,4575,3122,3468,2960,3268,3020,2274,1552,1724,1471,1624,1501,2301,1570,1744,1489,1644,1519
Región Chorotega,Tilarán,11163,10930,22093,4436,3329,3679,3118,3603,3928,2241,1682,1859,1575,1820,1985,2195,1647,1820,1543,1783,1943
Región Chorotega,Nandayure,5648,6217,11865,2454,1708,2004,1750,1963,1986,1168,813,954,833,934,945,1286,895,1050,917,1029,1041
Región Chorotega,La Cruz,14427,14140,28567,8568,5698,4536,3910,3350,2505,4327,2878,2291,1975,1692,1265,4241,2820,2245,1935,1658,1240
Región Chorotega,Hojancha,3935,4196,8131,1512,1111,1418,1262,1430,1398,732,538,686,611,692,677,780,573,732,651,738,721
Región Pacífico Central,Puntarenas,71372,74339,145711,30931,21194,24385,22360,24869,21972,15151,10381,11944,10952,12181,10762,15780,10813,12441,11408,12688,11210
Región Pacífico Central,Esparza,20064,19695,39759,9437,5667,5757,5950,6784,6164,4762,2860,2905,3003,3423,3111,4675,2807,2852,2947,3361,3053
Región Brunca,Buenos Aires,27595,27848,55443,14491,10461,9623,7608,7532,5728,7212,5207,4790,3787,3749,2851,7279,5254,4833,3821,3783,2877
Región Pacífico Central,Montes de Oro,7356,7353,14709,2899,1887,2494,2314,2689,2426,1450,944,1247,1157,1345,1213,1449,943,1247,1157,1344,1213
Región Brunca,Osa,15203,16293,31496,7703,3975,4248,5225,5475,4870,3718,1919,2050,2522,2643,2351,3985,2056,2198,2703,2832,2519
Región Pacífico Central,Aguirre,16276,18211,34487,7478,5073,6180,5600,5910,4246,3529,2394,2917,2643,2789,2004,3949,2679,3263,2957,3121,2242
Región Brunca,Golfito,22632,24356,46988,11540,7664,7432,6743,7280,6329,5558,3691,3580,3248,3506,3048,5982,3973,3852,3495,3774,3281
Región Brunca,Coto Brus,22386,21896,44282,12147,8389,6914,5280,5982,5570,6141,4241,3495,2669,3024,2816,6006,4148,3419,2611,2958,2754
Región Pacífico Central,Parrita,10469,10897,21366,4486,3198,3880,3607,3506,2689,2198,1567,1901,1767,1718,1318,2288,1631,1979,1840,1788,1371
Región Brunca,Corredores,26662,27345,54007,12730,8974,8788,8121,8637,6757,6285,4430,4338,4009,4264,3336,6445,4544,4450,4112,4373,3421
Región Pacífico Central,Garabito,13497,14581,28078,7878,4333,3916,4678,4803,2470,3787,2083,1882,2249,2309,1187,4091,2250,2034,2429,2494,1283
Región Huetar Caribe,Limón,50849,49552,100401,24780,16041,15570,13968,15941,14101,12550,8124,7886,7074,8073,7142,12230,7917,7684,6894,7868,6959
Región Huetar Caribe,Pococí,75585,81041,156626,36528,25160,24899,24614,25582,19843,17628,12142,12016,11878,12345,9576,18900,13018,12883,12736,13237,10267
Región Huetar Caribe,Siquirres,31669,34367,66036,15614,11327,11177,9604,10320,7994,7488,5432,5360,4606,4949,3834,8126,5895,5817,4998,5371,4160
Región Huetar Caribe,Talamanca,21752,23866,45618,12712,8790,7580,6483,5950,4103,6061,4191,3614,3091,2837,1956,6651,4599,3966,3392,3113,2147
Región Huetar Caribe,Matina,22393,25501,47894,13322,9347,7597,6317,6900,4411,6229,4370,3552,2954,3226,2062,7093,4977,4045,3363,3674,2349
Región Huetar Caribe,Guácimo,28288,29664,57952,15033,10396,9586,8065,8558,6314,7338,5075,4679,3937,4177,3082,7695,5321,4907,4128,4381,3232
